"character","sport","sheet","panel","pose","image"
"male","gameplay-golf","Golf — third-person gameplay","1","Address behind teed ball","gameplay-golf/male-01-rear-gameplay.png"
"male","gameplay-golf","Golf — third-person gameplay","2","Takeaway","gameplay-golf/male-01-rear-gameplay.png"
"male","gameplay-golf","Golf — third-person gameplay","3","Half backswing","gameplay-golf/male-01-rear-gameplay.png"
"male","gameplay-golf","Golf — third-person gameplay","4","Top of backswing","gameplay-golf/male-01-rear-gameplay.png"
"male","gameplay-golf","Golf — third-person gameplay","5","Downswing","gameplay-golf/male-01-rear-gameplay.png"
"male","gameplay-golf","Golf — third-person gameplay","6","Impact at ball","gameplay-golf/male-01-rear-gameplay.png"
"male","gameplay-golf","Golf — third-person gameplay","7","Extension toward fairway","gameplay-golf/male-01-rear-gameplay.png"
"male","gameplay-golf","Golf — third-person gameplay","8","High follow-through","gameplay-golf/male-01-rear-gameplay.png"
"male","gameplay-golf","Golf — third-person gameplay","9","Balanced finish watching flight","gameplay-golf/male-01-rear-gameplay.png"
"male","gameplay-golf","Golf — third-person gameplay","10","Putting setup on green","gameplay-golf/male-01-rear-gameplay.png"
"male","gameplay-golf","Golf — third-person gameplay","11","Putting contact","gameplay-golf/male-01-rear-gameplay.png"
"male","gameplay-golf","Golf — third-person gameplay","12","Watch ball roll toward cup","gameplay-golf/male-01-rear-gameplay.png"
"female","gameplay-golf","Golf — third-person gameplay","1","Address behind teed ball","gameplay-golf/female-01-rear-gameplay.png"
"female","gameplay-golf","Golf — third-person gameplay","2","Takeaway","gameplay-golf/female-01-rear-gameplay.png"
"female","gameplay-golf","Golf — third-person gameplay","3","Half backswing","gameplay-golf/female-01-rear-gameplay.png"
"female","gameplay-golf","Golf — third-person gameplay","4","Top of backswing","gameplay-golf/female-01-rear-gameplay.png"
"female","gameplay-golf","Golf — third-person gameplay","5","Downswing","gameplay-golf/female-01-rear-gameplay.png"
"female","gameplay-golf","Golf — third-person gameplay","6","Impact at ball","gameplay-golf/female-01-rear-gameplay.png"
"female","gameplay-golf","Golf — third-person gameplay","7","Extension toward fairway","gameplay-golf/female-01-rear-gameplay.png"
"female","gameplay-golf","Golf — third-person gameplay","8","High follow-through","gameplay-golf/female-01-rear-gameplay.png"
"female","gameplay-golf","Golf — third-person gameplay","9","Balanced finish watching flight","gameplay-golf/female-01-rear-gameplay.png"
"female","gameplay-golf","Golf — third-person gameplay","10","Putting setup on green","gameplay-golf/female-01-rear-gameplay.png"
"female","gameplay-golf","Golf — third-person gameplay","11","Putting contact","gameplay-golf/female-01-rear-gameplay.png"
"female","gameplay-golf","Golf — third-person gameplay","12","Watch ball roll toward cup","gameplay-golf/female-01-rear-gameplay.png"
"male","gameplay-bowling","Bowling — third-person gameplay","1","Ready with ball cradled","gameplay-bowling/male-01-rear-gameplay.png"
